uid,SOC,TaskID,occupation_raw,occupation_canonical,task_statement,importance,onet_version,digitally_amenable,modality,modality_confidence
9cebf9025932,23-2011.00,1636,Paralegals and Legal Assistants,Paralegal And Legal Assistant,"Gather and analyze research data, such as statutes, decisions, and legal articles, codes, and documents.",3.89,30.0,True,TEXT,1.0
d0cae5495d0f,23-2011.00,1638,Paralegals and Legal Assistants,Paralegal And Legal Assistant,Call upon witnesses to testify at hearings.,2.99,30.0,True,TEXT,1.0
db852c6edb22,23-2011.00,1639,Paralegals and Legal Assistants,Paralegal And Legal Assistant,"Direct and coordinate law office activity, including delivery of subpoenas.",3.33,30.0,False,MANUAL,1.0
3dfcc5c38672,23-2011.00,1641,Paralegals and Legal Assistants,Paralegal And Legal Assistant,Keep and monitor legal volumes to ensure that the law library is up-to-date.,2.67,30.0,False,MANUAL,1.0
7dda7be500c7,23-2011.00,1642,Paralegals and Legal Assistants,Paralegal And Legal Assistant,Appraise and inventory real and personal property for estate planning.,2.9,30.0,False,INCONCLUSIVE,1.0
0708055337ce,23-2011.00,18491,Paralegals and Legal Assistants,Paralegal And Legal Assistant,"Prepare affidavits or other documents, such as legal correspondence, and organize and maintain documents in paper or electronic filing system.",4.38,30.0,True,TEXT,1.0
dc35566b3c16,23-2011.00,18492,Paralegals and Legal Assistants,Paralegal And Legal Assistant,Prepare for trial by performing tasks such as organizing exhibits.,3.97,30.0,False,MANUAL,1.0
93eea469ed1a,23-2011.00,18493,Paralegals and Legal Assistants,Paralegal And Legal Assistant,Meet with clients and other professionals to discuss details of cases.,3.93,30.0,False,MANUAL,1.0
2e2364b781c0,23-2011.00,18494,Paralegals and Legal Assistants,Paralegal And Legal Assistant,File pleadings with court clerks.,3.89,30.0,False,MANUAL,1.0
8b2ab848b21d,23-2011.00,18496,Paralegals and Legal Assistants,Paralegal And Legal Assistant,"Arbitrate disputes between parties and assist in the real estate closing process, such as by reviewing title searches.",2.99,30.0,True,TEXT,1.0
3db6d320b232,23-2011.00,21062,Paralegals and Legal Assistants,Paralegal And Legal Assistant,"Investigate facts and law of cases and search pertinent sources, such as public records and internet sources, to determine causes of action and to prepare cases.",4.06,30.0,True,TEXT,1.0
3a55f5ca0fa9,23-2011.00,23994,Paralegals and Legal Assistants,Paralegal And Legal Assistant,"Prepare, edit, or review legal documents, including legislation, briefs, pleadings, appeals, wills, contracts, and real estate closing statements.",4.32,30.0,True,TEXT,1.0
74178ae3052c,43-4051.00,2578,Customer Service Representatives,Customer Service Representative,"Keep records of customer interactions or transactions, recording details of inquiries, complaints, or comments, as well as actions taken.",4.53,30.0,True,TEXT,1.0
817eee8498a4,43-4051.00,2579,Customer Service Representatives,Customer Service Representative,"Resolve customers' service or billing complaints by performing activities such as exchanging merchandise, refunding money, or adjusting bills.",4.19,30.0,False,MANUAL,1.0
0ab09e58d9c6,43-4051.00,2580,Customer Service Representatives,Customer Service Representative,Check to ensure that appropriate changes were made to resolve customers' problems.,4.39,30.0,True,TEXT,1.0
25c9f684920d,43-4051.00,2581,Customer Service Representatives,Customer Service Representative,Contact customers to respond to inquiries or to notify them of claim investigation results or any planned adjustments.,4.22,30.0,True,TEXT,1.0
b4ec494dd188,43-4051.00,2582,Customer Service Representatives,Customer Service Representative,Refer unresolved customer grievances to designated departments for further investigation.,4.07,30.0,True,TEXT,1.0
cc85a383d126,43-4051.00,2583,Customer Service Representatives,Customer Service Representative,"Determine charges for services requested, collect deposits or payments, or arrange for billing.",4.18,30.0,True,GUI,1.0
87f827ff1b9c,43-4051.00,2584,Customer Service Representatives,Customer Service Representative,"Complete contract forms, prepare change of address records, or issue service discontinuance orders, using computers.",4.1,30.0,True,GUI,1.0
d8079cd9345f,43-4051.00,2585,Customer Service Representatives,Customer Service Representative,"Obtain and examine all relevant information to assess validity of complaints and to determine possible causes, such as extreme weather conditions that could increase utility bills.",3.63,30.0,True,TEXT,1.0
b17e8429239b,43-4051.00,2586,Customer Service Representatives,Customer Service Representative,Solicit sales of new or additional services or products.,3.87,30.0,True,TEXT,1.0
38c421e63969,43-4051.00,2587,Customer Service Representatives,Customer Service Representative,Review insurance policy terms to determine whether a particular loss is covered by insurance.,4.05,30.0,True,TEXT,1.0
fd4e0eb807d3,43-4051.00,2589,Customer Service Representatives,Customer Service Representative,Compare disputed merchandise with original requisitions and information from invoices and prepare invoices for returned goods.,3.64,30.0,True,TEXT,1.0
d6909729317c,43-4051.00,2591,Customer Service Representatives,Customer Service Representative,"Recommend improvements in products, packaging, shipping, service, or billing methods and procedures to prevent future problems.",3.16,30.0,True,TEXT,1.0
a79efa23d0a0,43-4051.00,18565,Customer Service Representatives,Customer Service Representative,"Confer with customers by telephone or in person to provide information about products or services, take or enter orders, cancel accounts, or obtain details of complaints.",4.67,30.0,True,TEXT,1.0
d90fb1a3c6be,51-9061.00,12472,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Discard or reject products, materials, or equipment not meeting specifications.",4.68,30.0,False,MANUAL,1.0
d96c08beb07b,51-9061.00,12474,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Inspect, test, or measure materials, products, installations, or work for conformance to specifications.",4.46,30.0,True,VISION,1.0
47f45cd74b61,51-9061.00,12477,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Record inspection or test data, such as weights, temperatures, grades, or moisture content, and quantities inspected or graded.",4.25,30.0,True,TEXT,1.0
b86b2c576fc4,51-9061.00,12478,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Mark items with details, such as grade or acceptance-rejection status.",4.57,30.0,True,GUI,1.0
d49b96eef13f,51-9061.00,12480,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Measure dimensions of products to verify conformance to specifications, using measuring instruments, such as rulers, calipers, gauges, or micrometers.",4.49,30.0,False,MANUAL,1.0
4f411e8bb2fa,51-9061.00,12481,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Analyze test data, making computations as necessary, to determine test results.",4.24,30.0,True,TEXT,1.0
806e0bb9a690,51-9061.00,12482,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,Collect or select samples for testing or for use as models.,3.77,30.0,False,MANUAL,1.0
ceec44e1410d,51-9061.00,12484,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Compare colors, shapes, textures, or grades of products or materials with color charts, templates, or samples to verify conformance to standards.",4.17,30.0,True,VISION,1.0
8fb2959bdace,51-9061.00,12485,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Write test or inspection reports describing results, recommendations, or needed repairs.",4.39,30.0,True,TEXT,1.0
6d699b9d2736,51-9061.00,12486,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,Read dials or meters to verify that equipment is functioning at specified levels.,4.33,30.0,True,VISION,1.0
75df5d34b4dd,51-9061.00,12487,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Remove defects, such as chips, burrs, or lap corroded or pitted surfaces.",3.91,30.0,False,MANUAL,1.0
8207157aebfa,51-9061.00,12488,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Adjust, clean, or repair products or processing equipment to correct defects found during inspections.",3.93,30.0,False,MANUAL,1.0
d545b3a5d4fd,51-9061.00,12491,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Fabricate, install, position, or connect components, parts, finished products, or instruments for testing or operational purposes.",4.1,30.0,False,MANUAL,1.0
e3593984e597,51-9061.00,12493,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Grade, classify, or sort products according to sizes, weights, colors, or other specifications.",3.72,30.0,True,VISION,1.0
ba045e2b6ea7,51-9061.00,12495,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Make minor adjustments to equipment, such as turning setscrews to calibrate instruments to required tolerances.",4.32,30.0,False,MANUAL,1.0
1e9472fc707f,51-9061.00,12497,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Interpret legal requirements, provide safety information, or recommend compliance procedures to contractors, craft workers, engineers, or property owners.",4.0,30.0,True,TEXT,1.0
34da2e4f4209,51-9061.00,19920,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Inspect or test raw materials, parts, or products to determine compliance with environmental standards.",4.27,30.0,True,VISION,1.0
a6a2b15ee80e,51-9061.00,20298,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Read blueprints, data, manuals, or other materials to determine specifications, inspection and testing procedures, adjustment methods, certification processes, formulas, or measuring instruments required.",4.31,30.0,True,TEXT,1.0
e034e309f165,51-9061.00,20299,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,Notify supervisors or other personnel of production problems.,4.48,30.0,True,TEXT,1.0
b2874e0cefcb,51-9061.00,20300,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Recommend necessary corrective actions, based on inspection results.",4.36,30.0,True,TEXT,1.0
460868ef771e,51-9061.00,20301,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Clean, maintain, calibrate, or repair measuring instruments or test equipment, such as dial indicators, fixed gauges, or height gauges.",4.12,30.0,False,MANUAL,1.0
a0c78ae7a3fd,51-9061.00,20302,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Check arriving materials to ensure that they match purchase orders, submitting discrepancy reports as necessary.",4.29,30.0,False,MANUAL,1.0
afbe4e0559b9,51-9061.00,20303,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Compute defect percentages or averages, using formulas and calculators.",3.7,30.0,True,TEXT,1.0
9662f06a391f,51-9061.00,20304,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Position products, components, or parts for testing.",3.91,30.0,False,MANUAL,1.0
4f9791e227c3,51-9061.00,20305,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Stack or arrange tested products for further processing, shipping, or packaging.",3.63,30.0,False,MANUAL,1.0
9bda3faa6e45,51-9061.00,20306,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Monitor production operations or equipment to ensure conformance to specifications, making necessary process or assembly adjustments.",4.27,30.0,False,MANUAL,1.0
bac6ecd03dba,51-9061.00,20307,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Monitor machines that automatically measure, sort, or inspect products.",4.03,30.0,True,VISION,1.0
a047bff5de9f,51-9061.00,20308,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,Compute usable amounts of items in shipments.,3.84,30.0,True,TEXT,1.0
0bbde4c51bc4,51-9061.00,20309,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weighers,"Weigh materials, products, containers, or samples to verify packaging weights or ingredient quantities.",3.53,30.0,False,MANUAL,1.0
